经度        纬度         深度       速度
  113.500   40.200    0.000    1.000
  113.500   40.190    0.000    1.000
  113.500   40.180    0.000    1.000
  113.500   40.170    0.000    1.000
  113.500   40.160    0.000    1.000
  113.500   40.150    0.000    1.000
  113.500   40.140    0.000    1.000
  113.500   40.130    0.000    1.000
  113.500   40.120    0.000    1.000
  113.500   40.110    0.000    1.000
  113.500   40.100    0.000    1.000
  113.500   40.090    0.000    1.000
  113.500   40.080    0.000    1.000
  113.500   40.070    0.000    1.000
  113.500   40.060    0.000    1.000
  113.500   40.050    0.000    1.000
  113.500   40.040    0.000    1.000
  113.500   40.030    0.000    1.000
  113.500   40.020    0.000    1.000
  113.500   40.010    0.000    1.000
  113.500   40.000    0.000    1.000
  113.500   39.990    0.000    1.000
  113.500   39.980    0.000    1.000
  113.500   39.970    0.000    1.000
  113.500   39.960    0.000    1.000
  113.500   39.950    0.000    1.000
  113.500   39.940    0.000    1.000
  113.500   39.930    0.000    1.000
  113.500   39.920    0.000    1.000
  113.500   39.910    0.000    1.000
  113.500   39.900    0.000    1.000
  113.500   39.890    0.000    1.000
  113.500   39.880    0.000    1.000
  113.500   39.870    0.000    1.000
  113.520   40.200    0.000    1.000
  113.520   40.190    0.000    0.999
  113.520   40.180    0.000    0.999
  113.520   40.170    0.000    1.000
  113.520   40.160    0.000    1.000
  113.520   40.150    0.000    1.001
  113.520   40.140    0.000    1.002
  113.520   40.130    0.000    1.003
  113.520   40.120    0.000    1.003
  113.520   40.110    0.000    1.001
  113.520   40.100    0.000    1.000
  113.520   40.090    0.000    1.003
  113.520   40.080    0.000    1.006
  113.520   40.070    0.000    1.007
  113.520   40.060    0.000    1.005
  113.520   40.050    0.000    1.002
  113.520   40.040    0.000    1.000
  113.520   40.030    0.000    0.999
  113.520   40.020    0.000    1.000
  113.520   40.010    0.000    1.000
  113.520   40.000    0.000    1.001
  113.520   39.990    0.000    1.000
  113.520   39.980    0.000    1.000
  113.520   39.970    0.000    1.000
  113.520   39.960    0.000    1.000
  113.520   39.950    0.000    1.000
  113.520   39.940    0.000    1.000
  113.520   39.930    0.000    1.000
  113.520   39.920    0.000    1.000
  113.520   39.910    0.000    1.000
  113.520   39.900    0.000    1.000
  113.520   39.890    0.000    1.000
  113.520   39.880    0.000    1.000
  113.520   39.870    0.000    1.000
  113.540   40.200    0.000    1.000
  113.540   40.190    0.000    0.999
  113.540   40.180    0.000    0.999
  113.540   40.170    0.000    1.000
  113.540   40.160    0.000    1.001
  113.540   40.150    0.000    1.003
  113.540   40.140    0.000    1.006
  113.540   40.130    0.000    1.010
  113.540   40.120    0.000    1.012
  113.540   40.110    0.000    1.004
  113.540   40.100    0.000    0.998
  113.540   40.090    0.000    1.016
  113.540   40.080    0.000    1.026
  113.540   40.070    0.000    1.029
  113.540   40.060    0.000    1.019
  113.540   40.050    0.000    1.010
  113.540   40.040    0.000    1.000
  113.540   40.030    0.000    0.999
  113.540   40.020    0.000    1.000
  113.540   40.010    0.000    1.000
  113.540   40.000    0.000    1.001
  113.540   39.990    0.000    1.001
  113.540   39.980    0.000    1.000
  113.540   39.970    0.000    0.999
  113.540   39.960    0.000    0.999
  113.540   39.950    0.000    0.999
  113.540   39.940    0.000    1.000
  113.540   39.930    0.000    1.000
  113.540   39.920    0.000    1.001
  113.540   39.910    0.000    1.000
  113.540   39.900    0.000    1.000
  113.540   39.890    0.000    1.000
  113.540   39.880    0.000    1.000
  113.540   39.870    0.000    1.000
  113.560   40.200    0.000    1.000
  113.560   40.190    0.000    0.999
  113.560   40.180    0.000    0.999
  113.560   40.170    0.000    1.000
  113.560   40.160    0.000    1.002
  113.560   40.150    0.000    1.007
  113.560   40.140    0.000    1.016
  113.560   40.130    0.000    1.034
  113.560   40.120    0.000    1.085
  113.560   40.110    0.000    1.022
  113.560   40.100    0.000    1.028
  113.560   40.090    0.000    1.335
  113.560   40.080    0.000    1.368
  113.560   40.070    0.000    1.427
  113.560   40.060    0.000    1.288
  113.560   40.050    0.000    1.270
  113.560   40.040    0.000    1.115
  113.560   40.030    0.000    1.013
  113.560   40.020    0.000    1.001
  113.560   40.010    0.000    1.001
  113.560   40.000    0.000    1.001
  113.560   39.990    0.000    1.001
  113.560   39.980    0.000    1.000
  113.560   39.970    0.000    0.999
  113.560   39.960    0.000    0.999
  113.560   39.950    0.000    0.999
  113.560   39.940    0.000    0.999
  113.560   39.930    0.000    1.000
  113.560   39.920    0.000    1.001
  113.560   39.910    0.000    1.001
  113.560   39.900    0.000    1.000
  113.560   39.890    0.000    1.000
  113.560   39.880    0.000    1.000
  113.560   39.870    0.000    1.000
  113.580   40.200    0.000    1.000
  113.580   40.190    0.000    0.999
  113.580   40.180    0.000    0.999
  113.580   40.170    0.000    1.001
  113.580   40.160    0.000    1.005
  113.580   40.150    0.000    1.015
  113.580   40.140    0.000    1.064
  113.580   40.130    0.000    1.220
  113.580   40.120    0.000    1.512
  113.580   40.110    0.000    1.019
  113.580   40.100    0.000    0.500
  113.580   40.090    0.000    1.565
  113.580   40.080    0.000    1.552
  113.580   40.070    0.000    1.548
  113.580   40.060    0.000    1.526
  113.580   40.050    0.000    1.454
  113.580   40.040    0.000    1.180
  113.580   40.030    0.000    1.184
  113.580   40.020    0.000    1.035
  113.580   40.010    0.000    1.005
  113.580   40.000    0.000    1.003
  113.580   39.990    0.000    1.002
  113.580   39.980    0.000    1.000
  113.580   39.970    0.000    0.999
  113.580   39.960    0.000    0.998
  113.580   39.950    0.000    0.998
  113.580   39.940    0.000    0.998
  113.580   39.930    0.000    0.999
  113.580   39.920    0.000    1.000
  113.580   39.910    0.000    1.001
  113.580   39.900    0.000    1.001
