台站             H/V            沉积层深度   经度         纬度
  1.000     1    3.782            163.158       113.598         40.134
  2.000     1    3.754            109.870       113.620         40.133
  3.000     1    2.818             51.034       113.644         40.133
  4.000     1    2.569            120.994       113.668         40.134
  7.000     1    1.908             53.869       113.638         40.127
  8.000     1    1.988             86.233       113.659         40.124
 10.000    1     2.920            107.657       113.599         40.115
 11.000    1     3.056             77.190       113.621         40.115
 12.000    1     4.487            155.555       113.645         40.115
 14.000    1     1.672            179.855       113.693         40.116
 16.000    1     3.462             90.086       113.610         40.106
 17.000    1     4.271            159.977       113.634         40.106
 18.000    1     3.771            135.214       113.657         40.106
 19.000    1     4.129            143.679       113.681         40.106
 20.000    1     2.736             88.065       113.575         40.098
 22.000    1     2.255            141.302       113.621         40.098
 24.000    1     4.816             78.751       113.669         40.098
 25.000    1     3.122            147.813       113.693         40.097
 29.000    1     1.817            250.511       113.634         40.088
 36.000    1     1.421            239.077       113.693         40.080
 38.000    1     3.965             95.662       113.742         40.076
 40.000    1     1.869            234.730       113.635         40.070
 41.000    1     3.813             56.994       113.658         40.071
 43.000    1     1.492            387.724       113.599         40.061
 47.000    1     1.936            246.613       113.692         40.061
 48.000    1     2.329            226.572       113.717         40.062
 50.000    1     3.213            245.790       113.761         40.061
 51.000    1     4.795            216.881       113.786         40.061
 52.000    1     2.865             94.236       113.609         40.054
 56.000    1     2.308             42.751       113.599         40.044
 57.000    1     3.272            258.320       113.622         40.044
 59.000    1     1.395            271.216       113.669         40.045
 60.000    1     1.992            262.754       113.693         40.044
 61.000    1     1.329            260.223       113.715         40.044
 62.000    1     1.857            259.616       113.740         40.044
 63.000    1     1.413            123.523       113.763         40.044
 64.000    1     2.174            284.853       113.786         40.044
 65.000    1     3.029            259.444       113.811         40.045
 66.000    1     1.715            340.071       113.835         40.045
 68.000    1     1.947            315.370       113.623         40.024
 69.000    1     3.179            270.764       113.646         40.025
 73.000    1     2.226            272.850       113.740         40.026
 75.000    1     1.624            355.386       113.787         40.026
 77.000    1     1.536            364.393       113.835         40.026
 79.000    1     1.740            364.758       113.881         40.026
 80.000    1     1.449            344.182       113.669         40.007
 82.000    1     1.675            371.265       113.716         40.007
 86.000    1     1.561            380.166       113.811         40.007
 87.000    1     1.712            264.161       113.831         40.010
 90.000    1     2.110            370.275       113.903         40.007
 92.000    1     1.257            400.613       113.740         39.989
 93.000    1     1.879            388.501       113.764         39.990
 94.000    1     1.256            401.014       113.787         39.989
 96.000    1     1.399            387.983       113.835         39.989
 97.000    1     1.543            384.760       113.859         39.989
102.000   1      1.962            377.008       113.811         39.972
103.000   1      1.460            391.494       113.835         39.972
104.000   1      1.382            379.405       113.858         39.972
113.000   1      1.602            354.084       113.810         39.953
114.000   1      1.599            368.427       113.835         39.954
115.000   1      1.696            378.015       113.859         39.954
116.000   1      1.304            387.595       113.882         39.954
117.000   1      1.462            389.280       113.904         39.954
118.000   1      1.625            384.760       113.928         39.954
120.000   1      1.559            379.279       113.975         39.954
122.000   1      1.662            364.269       113.811         39.935
124.000   1      1.817            376.505       113.865         39.936
  5.000     2    3.084            239.157       113.692         40.134
 13.000    2     3.043            218.479       113.668         40.115
 15.000    2     3.277             50.458       113.714         40.116
 23.000    2     3.381            157.541       113.645         40.097
 30.000    2     2.603            214.435       113.658         40.088
 31.000    2     2.006            343.721       113.576         40.078
 35.000    2     2.431            222.441       113.669         40.080
 37.000    2     2.621             40.135       113.712         40.085
 49.000    2     2.788            219.869       113.736         40.063
 54.000    2     2.072            234.651       113.658         40.053
 76.000    2     1.542            268.784       113.809         40.027
 78.000    2     1.315             48.554       113.858         40.027
 88.000    2     1.278            350.205       113.858         40.007
 91.000    2     1.614            371.637       113.716         39.989
 95.000    2     2.044             75.862       113.810         39.990
 99.000    2     1.292            406.945       113.904         39.989
100.000   2      2.313             60.280       113.927         39.989
101.000   2      3.414            100.170       113.949         39.989
106.000   2      1.909             60.563       113.904         39.972
107.000   2      1.662            390.581       113.928         39.972
109.000   2      3.242             66.961       113.975         39.971
110.000   2      1.507             99.007       113.938         39.962
111.000   2      2.047            373.376       113.764         39.954
119.000   2      1.652            386.949       113.951         39.954
121.000   2      2.647            108.522       113.939         39.945
  6.000     3    2.221            210.957       113.610         40.125
  9.000     3    3.025            248.845       113.575         40.115
 26.000    3     2.305             97.956       113.715         40.097
 81.000    3     1.224            343.149       113.694         40.007
 83.000    3     1.865            280.139       113.740         40.007
 84.000    3     1.651            310.256       113.763         40.007
 85.000    3     2.061            367.936       113.786         40.007
 89.000    3     1.409            277.533       113.881         40.007
105.000   3      1.783            101.449       113.883         39.971
